State,City,Population1,Murder,Forcible rape,Robbery,Aggravated assault,Burglary,"Larceny-theft","Motor vehicle theft",Arson2
TEXAS,CARROLLTON,121603,3,4,93,106,896,2152,274,7
TEXAS,CORPUS CHRISTI,311637,11,194,370,1411,2668,11762,467,68
TEXAS,DALLAS,1223021,133,428,4066,3703,18727,35148,7984,596
TEXAS,DENTON,115769,2,53,55,201,565,2632,118,28
TEXAS,EL PASO,662780,16,217,464,2161,1859,12997,1456,120
TEXAS,FORT WORTH,756803,48,350,1267,2904,10058,22617,2442,143
TEXAS,FRISCO,119451,3,6,23,90,483,1878,99,4
TEXAS,GARLAND,231650,5,55,247,223,2244,5794,645,52
TEXAS,GRAND PRAIRIE,179087,9,69,201,320,1808,4330,818,39
TEXAS,HOUSTON,2143628,198,771,8054,11869,27459,68596,12281,765
TEXAS,IRVING,220841,8,25,151,330,1603,4590,601,21
TEXAS,KILLEEN,130613,15,69,172,559,2034,2989,187,40
TEXAS,LAREDO,241059,11,76,215,818,1790,8143,486,95
TEXAS,LEWISVILLE,97295,3,22,53,105,573,2223,299,6
TEXAS,LUBBOCK,234404,7,70,313,1409,3410,7975,693,56
TEXAS,MCALLEN,132610,4,27,72,142,511,5184,180,6
TEXAS,MCKINNEY,133876,1,33,44,163,626,2085,115,34
TEXAS,MESQUITE,142766,2,8,177,210,1704,4197,641,10
TEXAS,MIDLAND3,113486,4,21,58,251,715,2435,137,5
TEXAS,ODESSA,102043,6,37,73,632,617,2336,181,24
TEXAS,PASADENA,152179,5,62,135,364,1124,3728,414,20
TEXAS,PLANO,265309,5,40,142,242,1193,5182,389,5
TEXAS,RICHARDSON,101311,0,9,76,88,680,1934,194,3
TEXAS,ROUND ROCK,101989,2,25,39,49,394,2001,51,1
TEXAS,SAN ANTONIO,1355339,89,492,1785,4672,15334,59641,5893,209
TEXAS,TYLER,98939,3,46,79,375,834,3423,184,6
TEXAS,WACO,127431,11,70,245,440,1670,4593,159,35
TEXAS,WICHITA FALLS,106753,1,30,147,281,1241,3398,237,25
UTAH,PROVO,114659,4,27,26,92,386,2400,102,10
UTAH,WEST VALLEY,131979,4,77,126,381,929,3711,728,10
VIRGINIA,ALEXANDRIA,141638,1,14,129,108,303,2506,372,6
VIRGINIA,CHESAPEAKE,224864,12,46,246,588,1237,5601,325,21
